BioSample,Assay_Type,Organism,Run,Sample_Name,individual,sex,tissue,BioProject
SAMN11245725,WGS,Gambusia holbrooki,SRR8785515,G.hol._4F_H,21,female,head,PRJNA528814
SAMN11245725,WGS,Gambusia holbrooki,SRR8785516,G.hol._4F_H,21,female,head,PRJNA528814
SAMN11245725,WGS,Gambusia holbrooki,SRR8785517,G.hol._4F_H,21,female,head,PRJNA528814
SAMN11245725,WGS,Gambusia holbrooki,SRR8785518,G.hol._4F_H,21,female,head,PRJNA528814
SAMN11245725,WGS,Gambusia holbrooki,SRR8785520,G.hol._4F_H,21,female,head,PRJNA528814
SAMN11245725,WGS,Gambusia holbrooki,SRR8785654,G.hol._4F_H,21,female,head,PRJNA528814
SAMN11245725,WGS,Gambusia holbrooki,SRR8785657,G.hol._4F_H,21,female,head,PRJNA528814
SAMN11245725,WGS,Gambusia holbrooki,SRR8785663,G.hol._4F_H,21,female,head,PRJNA528814
SAMN11245725,WGS,Gambusia holbrooki,SRR8785729,G.hol._4F_H,21,female,head,PRJNA528814
SAMN11245725,WGS,Gambusia holbrooki,SRR8785730,G.hol._4F_H,21,female,head,PRJNA528814
SAMN11245725,WGS,Gambusia holbrooki,SRR8785845,G.hol._4F_H,21,female,head,PRJNA528814
SAMN11245725,WGS,Gambusia holbrooki,SRR8785846,G.hol._4F_H,21,female,head,PRJNA528814
SAMN11245726,WGS,Gambusia holbrooki,SRR8785519,G.hol._6M_H,22,male,head,PRJNA528814
SAMN11245726,WGS,Gambusia holbrooki,SRR8785578,G.hol._6M_H,22,male,head,PRJNA528814
SAMN11245726,WGS,Gambusia holbrooki,SRR8785579,G.hol._6M_H,22,male,head,PRJNA528814
SAMN11245726,WGS,Gambusia holbrooki,SRR8785641,G.hol._6M_H,22,male,head,PRJNA528814
SAMN11245726,WGS,Gambusia holbrooki,SRR8785642,G.hol._6M_H,22,male,head,PRJNA528814
SAMN11245726,WGS,Gambusia holbrooki,SRR8785653,G.hol._6M_H,22,male,head,PRJNA528814
SAMN11245726,WGS,Gambusia holbrooki,SRR8785835,G.hol._6M_H,22,male,head,PRJNA528814
SAMN11245726,WGS,Gambusia holbrooki,SRR8785898,G.hol._6M_H,22,male,head,PRJNA528814
SAMN11245726,WGS,Gambusia holbrooki,SRR8785899,G.hol._6M_H,22,male,head,PRJNA528814
SAMN11245726,WGS,Gambusia holbrooki,SRR8785900,G.hol._6M_H,22,male,head,PRJNA528814
SAMN11245726,WGS,Gambusia holbrooki,SRR8785901,G.hol._6M_H,22,male,head,PRJNA528814
SAMN11245726,WGS,Gambusia holbrooki,SRR8785904,G.hol._6M_H,22,male,head,PRJNA528814
SAMN11245726,WGS,Gambusia holbrooki,SRR8785905,G.hol._6M_H,22,male,head,PRJNA528814
SAMN11245726,WGS,Gambusia holbrooki,SRR8785971,G.hol._6M_H,22,male,head,PRJNA528814
SAMN11245726,WGS,Gambusia holbrooki,SRR8785972,G.hol._6M_H,22,male,head,PRJNA528814
SAMN11245726,WGS,Gambusia holbrooki,SRR8785973,G.hol._6M_H,22,male,head,PRJNA528814
SAMN11245726,WGS,Gambusia holbrooki,SRR8785974,G.hol._6M_H,22,male,head,PRJNA528814
SAMN11245726,WGS,Gambusia holbrooki,SRR8785975,G.hol._6M_H,22,male,head,PRJNA528814
SAMN11245726,WGS,Gambusia holbrooki,SRR8785976,G.hol._6M_H,22,male,head,PRJNA528814
SAMN11245726,WGS,Gambusia holbrooki,SRR8785977,G.hol._6M_H,22,male,head,PRJNA528814
SAMN11245726,WGS,Gambusia holbrooki,SRR8785978,G.hol._6M_H,22,male,head,PRJNA528814
SAMN11245726,WGS,Gambusia holbrooki,SRR8785991,G.hol._6M_H,22,male,head,PRJNA528814
SAMN11245727,WGS,Gambusia holbrooki,SRR8785478,G.hol._7M_H,23,male,head,PRJNA528814
SAMN11245727,WGS,Gambusia holbrooki,SRR8785479,G.hol._7M_H,23,male,head,PRJNA528814
SAMN11245727,WGS,Gambusia holbrooki,SRR8785480,G.hol._7M_H,23,male,head,PRJNA528814
SAMN11245727,WGS,Gambusia holbrooki,SRR8785521,G.hol._7M_H,23,male,head,PRJNA528814
SAMN11245727,WGS,Gambusia holbrooki,SRR8785522,G.hol._7M_H,23,male,head,PRJNA528814
SAMN11245727,WGS,Gambusia holbrooki,SRR8785636,G.hol._7M_H,23,male,head,PRJNA528814
SAMN11245727,WGS,Gambusia holbrooki,SRR8785638,G.hol._7M_H,23,male,head,PRJNA528814
SAMN11245727,WGS,Gambusia holbrooki,SRR8785640,G.hol._7M_H,23,male,head,PRJNA528814
SAMN11245727,WGS,Gambusia holbrooki,SRR8785791,G.hol._7M_H,23,male,head,PRJNA528814
SAMN11245727,WGS,Gambusia holbrooki,SRR8785832,G.hol._7M_H,23,male,head,PRJNA528814
SAMN11245727,WGS,Gambusia holbrooki,SRR8785833,G.hol._7M_H,23,male,head,PRJNA528814
SAMN11245727,WGS,Gambusia holbrooki,SRR8785902,G.hol._7M_H,23,male,head,PRJNA528814
SAMN11245727,WGS,Gambusia holbrooki,SRR8785903,G.hol._7M_H,23,male,head,PRJNA528814
SAMN11245727,WGS,Gambusia holbrooki,SRR8785906,G.hol._7M_H,23,male,head,PRJNA528814
SAMN11245727,WGS,Gambusia holbrooki,SRR8785907,G.hol._7M_H,23,male,head,PRJNA528814
SAMN11245727,WGS,Gambusia holbrooki,SRR8785979,G.hol._7M_H,23,male,head,PRJNA528814
SAMN11245727,WGS,Gambusia holbrooki,SRR8785980,G.hol._7M_H,23,male,head,PRJNA528814
SAMN11245727,WGS,Gambusia holbrooki,SRR8786007,G.hol._7M_H,23,male,head,PRJNA528814
SAMN11245727,WGS,Gambusia holbrooki,SRR8786008,G.hol._7M_H,23,male,head,PRJNA528814
SAMN11245727,WGS,Gambusia holbrooki,SRR8786009,G.hol._7M_H,23,male,head,PRJNA528814
SAMN11245727,WGS,Gambusia holbrooki,SRR8786010,G.hol._7M_H,23,male,head,PRJNA528814
SAMN11245727,WGS,Gambusia holbrooki,SRR8786011,G.hol._7M_H,23,male,head,PRJNA528814
SAMN11245723,WGS,Gambusia holbrooki,SRR8785523,G.hol._2F_H,19,female,head,PRJNA528814
SAMN11245723,WGS,Gambusia holbrooki,SRR8785524,G.hol._2F_H,19,female,head,PRJNA528814
SAMN11245723,WGS,Gambusia holbrooki,SRR8785598,G.hol._2F_H,19,female,head,PRJNA528814
SAMN11245723,WGS,Gambusia holbrooki,SRR8785599,G.hol._2F_H,19,female,head,PRJNA528814
SAMN11245723,WGS,Gambusia holbrooki,SRR8785600,G.hol._2F_H,19,female,head,PRJNA528814
SAMN11245723,WGS,Gambusia holbrooki,SRR8785601,G.hol._2F_H,19,female,head,PRJNA528814
SAMN11245723,WGS,Gambusia holbrooki,SRR8785602,G.hol._2F_H,19,female,head,PRJNA528814
SAMN11245723,WGS,Gambusia holbrooki,SRR8785603,G.hol._2F_H,19,female,head,PRJNA528814
SAMN11245723,WGS,Gambusia holbrooki,SRR8785604,G.hol._2F_H,19,female,head,PRJNA528814
SAMN11245723,WGS,Gambusia holbrooki,SRR8785605,G.hol._2F_H,19,female,head,PRJNA528814
SAMN11245723,WGS,Gambusia holbrooki,SRR8785606,G.hol._2F_H,19,female,head,PRJNA528814
SAMN11245723,WGS,Gambusia holbrooki,SRR8785607,G.hol._2F_H,19,female,head,PRJNA528814
SAMN11245723,WGS,Gambusia holbrooki,SRR8785755,G.hol._2F_H,19,female,head,PRJNA528814
SAMN11245723,WGS,Gambusia holbrooki,SRR8785756,G.hol._2F_H,19,female,head,PRJNA528814
SAMN11245723,WGS,Gambusia holbrooki,SRR8785758,G.hol._2F_H,19,female,head,PRJNA528814
SAMN11245723,WGS,Gambusia holbrooki,SRR8785912,G.hol._2F_H,19,female,head,PRJNA528814
SAMN11245723,WGS,Gambusia holbrooki,SRR8785916,G.hol._2F_H,19,female,head,PRJNA528814
SAMN11245723,WGS,Gambusia holbrooki,SRR8785917,G.hol._2F_H,19,female,head,PRJNA528814
SAMN11245723,WGS,Gambusia holbrooki,SRR8785918,G.hol._2F_H,19,female,head,PRJNA528814
SAMN11245723,WGS,Gambusia holbrooki,SRR8785919,G.hol._2F_H,19,female,head,PRJNA528814
