ref_Gambusia_2Female_RNA	ref_Gambusia_3Female_RNA	ref_Gambusia_4Female_RNA	ref_Gambusia_6Male_RNA	ref_Gambusia_7Male_RNA	ref_Gambusia_8Male_RNA	alt_Gambusia_2Female_RNA	alt_Gambusia_3Female_RNA	alt_Gambusia_4Female_RNA	alt_Gambusia_6Male_RNA	alt_Gambusia_7Male_RNA	alt_Gambusia_8Male_RNA	gene
6.733471074380165	4.417355371900826	4.783057851239668	3.5867768595041323	4.9607438016528915	4.605371900826446	3.3285123966942147	2.1177685950413223	2.4152892561983466	1.737603305785124	2.520661157024793	2.1322314049586777	ENSXMAG00000021985
												ENSXMAG00000022189
2.7857142857142856	0.0	2.7857142857142856	0.0	0.0	3.571428571428572	0.21428571428571427	0.0	0.21428571428571427	0.0	0.0	0.2857142857142857	ENSXMAG00000022965
3.4178082191780823	2.1404109589041096	3.0719178082191783	2.616438356164384	2.958904109589041	2.585616438356164	1.3767123287671232	0.8287671232876712	1.2328767123287672	1.047945205479452	1.1301369863013702	1.1232876712328768	ENSXMAG00000010871
2.6140350877192984	2.3157894736842106	4.421052631578949	3.8947368421052633	4.333333333333333	3.1929824561403515	0.5087719298245614	0.5263157894736842	0.9298245614035088	1.0175438596491229	0.6842105263157895	0.7543859649122807	ENSXMAG00000025975
												ENSXMAG00000025961
												ENSXMAG00000018270
4.166666666666667	1.0	2.333333333333333	0.6666666666666666	2.333333333333333	2.333333333333333	0.4166666666666667	0.5	0.6666666666666666	0.5	0.3333333333333333	0.0	ENSXMAG00000000241
												ENSXMAG00000025669
2.0	3.0	1.25	1.25	2.5	5.25	0.0	0.0	0.0	0.0	0.0	0.0	ENSXMAG00000000282
												ENSXMAG00000003207
7.781021897810218	4.386861313868613	6.514598540145985	6.857664233576642	5.759124087591242	6.010948905109488	2.872262773722628	1.5985401459854014	2.178832116788321	2.4051094890510947	2.051094890510949	2.054744525547445	ENSXMAG00000008057
